,zpid,homeStatus,city,homeType,bathrooms,bedrooms,isPremierBuilder,livingArea,zestimate,zipcode,longitude,latitude,abbreviatedAddress,datePostedString,dateSoldString,favoriteCount,pageViewCount,lastSoldPrice,livingAreaValue,livingAreaUnitsShort,lotAreaValue,lotAreaUnits,monthlyHoaFee,price,newConstructionType,yearBuilt,description,pricePerSquareFoot,fireplaces,garageSpaces,hasView,propertyCondition,sewer,stories,subdivisionName,taxAnnualAmount,elementarySchool,middleSchool,highSchool
0,61292470,RECENTLY_SOLD,Seattle,SINGLE_FAMILY,3.0,3.0,False,1790.0,1112700.0,98107,-122.38079,47.67259,1742 NW 60th Street,2024-04-19,2024-05-20,4,96,1148500,1790,sqft,2347.884,Square Feet,,1148500,,2003,"This craftsman-style home is a rarity with nearly 1800 sq ft across 2 levels and a fenced area ready for your furry friends. Upstairs, discover 3 bedrooms, 2 baths with laundry, skylights, and a primary ensuite(2 walk-in closets!). A large living room welcomes you home and is ready to host everyone for the big game. The kitchen is complete with a pantry, a new fridge with customizable panels, and gas cooking. Outside, enjoy multiple entertaining zones and parking for 2 cars, including a garage with workspace. With an unbeatable location(walk score of 89) and nearby “stay-healthy” street makes it easy to stroll to all of the fun of Ballard. Embrace a new lifestyle in comfort and convenience!",631,2,1,True,,Sewer Connected,2,Ballard,6781,8,7,9
1,48772076,RECENTLY_SOLD,Seattle,SINGLE_FAMILY,2.0,4.0,False,1880.0,1260400.0,98107,-122.361626,47.66313,314 NW 47th Street,2024-04-24,2024-05-17,418,3867,1260000,1880,sqft,4848.228,Square Feet,,1260000,,1944,"Imagine living so close to Ballard Breweries, Phinney Ridge restaurants AND Fremont shopping! Or dining al fresco with friends while enjoying mountain views from your entertainers' dream deck! Like to cook? Enjoy fresh herbs and berries from your sunny garden space! This charming, impeccable home offers generous living spaces, an updated kitchen with walk-out to rear deck, and a large skylit primary bedroom with vaulted ceiling and large walk-in closet. A bonus is the legally permitted daylight lower level one bed ADU, offering great income potential or extended living and/or guest space. Delightful landscaped yard, street to alley lot, secure 2 car parking off alley. Well maintained and absolutely turnkey, Welcome Home!",631,0,,True,Very Good,Sewer Connected,,Ballard,7994,,9,9
2,48772137,RECENTLY_SOLD,Seattle,SINGLE_FAMILY,2.0,2.0,False,1420.0,909200.0,98107,-122.36133,47.661972,309 NW 46th Street,2024-05-18,2024-05-17,0,19,825000,1420,sqft,3881.196,Square Feet,,825000,,1950,"Located in the desirable Phinney Ridge neighborhood - close to area parks, shopping, restaurants and transit access. Mid-century home that enjoys lovely Olympic Mountains and sunset views. The home features hardwood floors, generous size entertainment and bedroom areas, good natural light, view deck and a separate lower level studio complete with it's own kitchen, laundry and bath/ Partially fenced yard with garage and carport off the alley, plenty of space for a garden.",631,1,2,True,,Sewer Connected,1,Phinney Ridge,7188,,9,9
3,49045306,RECENTLY_SOLD,Seattle,SINGLE_FAMILY,1.0,2.0,False,1820.0,774800.0,98107,-122.39691,47.673473,3029 NW 62nd Street,2024-04-12,2024-05-17,5,221,862000,1820,sqft,5000.688,Square Feet,,862000,,1908,"This slice of Sunset Hill is divine, where spring’s vibrant colors meet neighbors who care and connect. Where charm and pride of ownership delightfully match this unparalleled location. Built in 1908, you feel the charm immediately. The gracious porch beckons coffee & community. Inside, high ceilings are airy & dignified. Enjoy the whimsy of vintage green glass on the kitchen cabinetry. Owned for over 30 years by the same owner, recent updates include brand new siding on home & garage, new paint inside & out, new red oak hardwoods, & new appliances. Around the corner are restaurants, grocer and cafe, and the many shops Ballard boasts. Walk to the locks, marina, beach, and park, or rest in the peaceful backyard garden. Stinkin’ cute, right?!",631,0,1,False,,Sewer Connected,1,Sunset Hill,6875,8,7,9
4,49047123,RECENTLY_SOLD,Seattle,SINGLE_FAMILY,3.0,3.0,False,2160.0,1306300.0,98117,-122.37862,47.68971,8332 17th Avenue NW,2024-05-03,2024-05-17,71,929,1260000,2160,sqft,4512.816,Square Feet,,1260000,,1924,"Welcome home to this charming Loyal Heights Craftsman home! A covered porch welcomes you into the main living room with beautiful oak hardwood floors & tons of natural light. An open and updated kitchen offers tons of cabinetry and countertop space - perfect for cooking and entertaining! Don't miss the main floor bedroom & full bath + darling breakfast nook. Upstairs you'll find an oversized primary suite w/ 12ft ceilings, attached bath, & private deck. In the basement you’ll find an oversized laundry room w/ possible MIL/guest suite complete w/ kitchen, rec room, & bathroom! Enjoy dining al fresco on the backyard deck overlooking your private yard and detached oversized tandem garage! Steps to shops, restaurants, transit & more!",631,0,2,True,Good,Sewer Connected,2,Ballard,9256,8,7,9
5,2053263186,RECENTLY_SOLD,Seattle,TOWNHOUSE,2.0,3.0,False,1621.0,839400.0,98117,-122.37253,47.689545,8328 C (SA-7) 13th Avenue NW,2024-01-12,2024-05-17,1,26,849900,1621,sqft,923.472,Square Feet,23,849900,,2024,"Welcome to Willow South! Lock in pre-season pricing as these classic townhomes close in on completion! This street-front, west-facing, home w/ a timeless brick facade offers a private roof deck (w/outlets, in-wall lighting, nat. gas & H2O outlets, & peek-a-boo City & Mtn. views), deeded parking space w/ EV capability, & a spectacular location-.4 miles to the NEW Metropolitan Market & other shops, restaurants, etc. The main floor provides access to an arbored rear patio, & features a bright & functional kitchen w/ workspace island, Bosch appl., & flat front cabinets. The 2nd level=2 bedrooms, full bath, & utility. The primary suite encompasses the 3rd floor-spacious bath w/ separate toilet room, large, walk-in shower, & ample closet space.",631,0,,True,Very Good,Sewer Connected,,Crown Hill,1,10,7,9
6,48672922,RECENTLY_SOLD,Seattle,SINGLE_FAMILY,1.0,2.0,False,1200.0,910500.0,98117,-122.37404,47.681614,1408 NW 73rd Street,2024-04-25,2024-05-16,132,1395,910000,1200,sqft,3750.516,Square Feet,,910000,,1908,"This is the home, the one where you feel held when you walk in, like you’ve been here before. It’s where you feel comfortable to live life your way. It’s where you sit in your fully-fenced magical garden yard, and the fragrant flowers & bright colors bring calm. Sit on your porch & greet your neighbors, or enjoy some privacy and a tea on the side deck. Thoughtfully remodeled in 2010, enjoy a kitchen that opens to the dining & living rooms. Light flows through the home evenly, & your guests will no doubt succumb to its inviting nature, where the gas fireplace keeps things toasty on chilly days. The Primary Bedroom boasts vaulted ceilings, & French Doors that open to the patio and garden. Wind down with a relaxing jetted tub after a long day.",631,1,,False,,Sewer Connected,1,Ballard,8063,10,7,9
7,49047101,RECENTLY_SOLD,Seattle,SINGLE_FAMILY,1.0,2.0,False,1055.0,785400.0,98117,-122.37757,47.68838,8052 16th Avenue NW,2024-02-27,2024-05-16,0,29,785000,1055,sqft,4247.1,Square Feet,,785000,,1942,"Prime Investment Opportunity! An exceptional opportunity in Crow Hill neighborhood! This ready-to-build lot presents an enticing prospect for developers and investors alike. 4 Rooftop Townhomes of 1220 SF, 1377 SF, 1660 SF this one has a garage, and 1361 SF. This property offers versatility and potential for lucrative returns. We have navigated the building permit process and are available, once the MHA fee is paid. With all the groundwork laid, the path to building these townhomes is ready to be embarked upon. The only outstanding requirement for the buyer is to cover the MHA fee, approximately $139k. Don't miss out on the chance to capitalize on the immense potential of this ready-to-build lot. Value on Land.",631,0,,False,,Sewer Connected,1,Crown Hill,5400,8,7,9
8,84756730,RECENTLY_SOLD,Seattle,TOWNHOUSE,2.0,2.0,False,1210.0,760900.0,98107,-122.37463,47.67558,1422 NW 64th Street UNIT C,2024-04-09,2024-05-16,2,75,760000,1210,sqft,1263.24,Square Feet,,760000,,2007,"Aloha & Welcome Home! Your Modern Oasis in the ideal neighborhood awaits your arrival. This open concept Eggleston | Farkas designed home is both unique and functional for you and yours. This newly painted home (IN & OUT!) is equipped with Paperstone slab countertops, blonde bamboo flooring, gas fireplace, stainless steel appliances, gas cooktop and attached garage. Escape to your spacious and private patio for entertaining or quiet retreat. Walkability score 93 and NO HOA DUES! This Ballard Modern was built and prepared with meticulous detail. This may be the piece of paradise that you have been looking for!",631,1,1,False,,Sewer Connected,,Ballard,5798,9,9,9
9,348107129,RECENTLY_SOLD,Seattle,SINGLE_FAMILY,3.0,2.0,False,1087.0,802800.0,98107,-122.394325,47.6746,2826 NW 63rd Street UNIT B,2024-04-18,2024-05-16,22,803,799950,1087,sqft,5000.688,Square Feet,20,799950,,2024,"Designer details and finishes at this stunning new construction in Sunset Hill. This home features large windows, tons of natural light, and light hardwoods create a simple beachy aesthetic. Lower level has a large spacious bedroom and office/den. Open concept main level with luxurious and functional chef’s kitchen open to living room. Upstairs, primary with gorgeous ensuite. Enjoy modern comforts with ductless mini-splits for year-round climate control.  Dedicated off street EV parking and fenced yard with great curb appeal. Located in a serene neighborhood close to water, parks, and Ballard's buzz. Experience the perfect blend of modern living and natural beauty in this exquisite new construction. Your dream home awaits.",631,0,,False,,Sewer Connected,2,Sunset Hill,1,8,7,9
