,bathrooms,bedrooms,city,country,currency,dateSold,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid,unit,listing_sub_type.is_FSBA,isRentalWithBasePrice,rentalMarketingSubType,rentalR4RRoommateCount,videoCount,newConstructionType,listing_sub_type.is_newHome,datePriceChanged,priceChange,priceReduction,providerListingID,listing_sub_type.is_bankOwned,contingentListingType
0,3.0,3.0,Seattle,USA,USD,2024-05-20 07:00:00,2,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/edc5d93c155c3db6fb11fc8a3504beea-p_e.jpg,False,True,False,False,False,False,False,47.67259,1790.0,-122.38079,sqft,2347.884,1148500.0,1148500.0,4043.0,False,WA,1742 NW 60th Street,844000.0,194125000,1112700.0,98107,61292470,,,,,,,,,,,,,,
1,2.0,4.0,Seattle,USA,USD,2024-05-17 07:00:00,5,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/df50a4c3638fb89a983284c79992b1e0-p_e.jpg,False,True,False,False,False,False,False,47.66313,1880.0,-122.361626,sqft,4848.228,1260000.0,1260000.0,3994.0,False,WA,314 NW 47th Street,823000.0,453325000,1260400.0,98107,48772076,,,,,,,,,,,,,,
2,2.0,2.0,Seattle,USA,USD,2024-05-17 07:00:00,5,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/926c8ab73a03c75a141d166cb197d096-p_e.jpg,False,True,False,False,False,False,False,47.661972,1420.0,-122.36133,sqft,3881.196,825000.0,825000.0,3499.0,False,WA,309 NW 46th Street,734000.0,453325000,909200.0,98107,48772137,,,,,,,,,,,,,,
3,1.0,2.0,Seattle,USA,USD,2024-05-17 07:00:00,5,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/67b44074e94821fa7c450003f2098641-p_e.jpg,False,True,False,False,False,False,False,47.673473,1820.0,-122.39691,sqft,5000.688,862000.0,862000.0,3395.0,False,WA,3029 NW 62nd Street,653000.0,453325000,774800.0,98107,49045306,,,,,,,,,,,,,,
4,3.0,3.0,Seattle,USA,USD,2024-05-17 07:00:00,5,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/24e40c230378e147df9f31abc067cf19-p_e.jpg,False,True,False,False,False,False,False,47.68971,2160.0,-122.37862,sqft,4512.816,1260000.0,1260000.0,4285.0,False,WA,8332 17th Avenue NW,975000.0,453325000,1306300.0,98117,49047123,,,,,,,,,,,,,,
5,2.0,3.0,Seattle,USA,USD,2024-05-17 07:00:00,5,RECENTLY_SOLD,RECENTLY_SOLD,TOWNHOUSE,https://photos.zillowstatic.com/fp/e78dd828d9945e9b024ffc04a376aaa9-p_e.jpg,False,True,False,False,False,False,False,47.689545,1621.0,-122.37253,sqft,923.472,849900.0,849900.0,3599.0,False,WA,8328 C (SA-7) 13th Avenue NW,,453325000,839400.0,98117,2053263186,,,,,,,,,,,,,,
6,1.0,2.0,Seattle,USA,USD,2024-05-16 07:00:00,6,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2c3dce1ae22cca2e9d99a942e23c1238-p_e.jpg,False,True,False,False,False,False,False,47.681614,1200.0,-122.37404,sqft,3750.516,910000.0,910000.0,3401.0,False,WA,1408 NW 73rd Street,850000.0,539725000,910500.0,98117,48672922,,,,,,,,,,,,,,
7,1.0,2.0,Seattle,USA,USD,2024-05-16 07:00:00,6,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0c4c209ad39977f9289f93690481c970-p_e.jpg,False,True,False,False,False,False,False,47.68838,1055.0,-122.37757,sqft,4247.1,785000.0,785000.0,2870.0,False,WA,8052 16th Avenue NW,685000.0,539725000,785400.0,98117,49047101,,,,,,,,,,,,,,
8,2.0,2.0,Seattle,USA,USD,2024-05-16 07:00:00,6,RECENTLY_SOLD,RECENTLY_SOLD,TOWNHOUSE,https://photos.zillowstatic.com/fp/838e723f8b4bbb123f879f4b5938b4d6-p_e.jpg,False,True,False,False,False,False,False,47.67558,1210.0,-122.37463,sqft,1263.24,760000.0,760000.0,3434.0,False,WA,1422 NW 64th Street UNIT C,613000.0,539725000,760900.0,98107,84756730,Unit C,,,,,,,,,,,,,
9,3.0,2.0,Seattle,USA,USD,2024-05-16 07:00:00,6,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/652bc042220840a032ed2e721008f760-p_e.jpg,False,True,False,False,False,False,False,47.6746,1087.0,-122.394325,sqft,5000.688,799950.0,799950.0,3379.0,False,WA,2826 NW 63rd Street UNIT B,,539725000,802800.0,98107,348107129,# B,,,,,,,,,,,,,
